Product Name,Price Before Discount,Current Price After Discount,Discount
"Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow, (1YR WRTY)","KSh 2,999","KSh 1,549",48%
"Midea MMO-MM7P012MZE(BK) , 20L Manual Microwave Oven , 700W - Black","KSh 11,000","KSh 7,299",34%
AILYONS GS017 Gas Cooker Double Burner Stainless Steel Table Top (1YR WRTY),"KSh 2,399","KSh 1,599",33%
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY) (1YR WRTY),"KSh 23,000","KSh 16,499",28%
Hisense Fridge 176 Liters With Dispenser REF176DR Single Door (2YRs WRTY),"KSh 45,000","KSh 35,999",20%
"AILYONS GS014-4, 2 Burner Glass Top Gas Cooker & Infrared Double Burner, (1YR WRTY)","KSh 3,299","KSh 2,349",29%
"VON VAMS-20MGX - Manual Microwave Oven, Solo - 20L - Black (1YR WRTY)","KSh 11,995","KSh 8,499",29%
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox (1Y WRTY) (1YR WRTY),"KSh 36,000","KSh 26,199",27%
Hisense 116L Double Door Refrigerator RD-17DR4SA (2YRS WRTY),"KSh 45,000","KSh 34,450",23%
"AILYONS GS014-5, 2 Burner Glass Top Gas Cooker & Infrared Double Burner, (1YR WRTY)","KSh 3,299","KSh 2,349",29%
Hisense 206L Double Door Refrigerator RD-27DR4SA (2YRS WRTY),"KSh 55,000","KSh 41,050",25%
Ecoa Char Stove,"KSh 4,490","KSh 3,273",27%
Nice One Stainless Steel Vacuum Flask High-Quality Thermos - 2.0 L - Blue,"KSh 1,699",KSh 859,49%
Rashnik 7 Piece Kitchen Knife Set,KSh 612,KSh 611,1%
Rashnik 480 ml Insulated Stainless Steel Blue Food Thermos (RN-1438BLUE),KSh 600,KSh 550,8%
Niceone 6pcs 217ml High Quality Classy Whiskey/Wine/Water Glass,KSh 799,KSh 499,38%
Nunix RH-588 Hot Air Popcorn Maker,"KSh 1,260","KSh 1,155",8%
Tornado 14Pcs Heavy Non-Stick Cooking Pot Sufuria Set,"KSh 10,000","KSh 7,280",27%
"EDENBERG EB-3391 20cm Die-casting Crepe Pan Granite, Grey","KSh 1,260","KSh 1,197",5%
EDENBERG EB-3607 7PCS Kitchen Tools Set with Small Black Stand Holder -Red & Black,"KSh 1,320","KSh 1,210",8%
Fashion Men's Thick-soled Board Shoes,"KSh 2,763","KSh 1,409",49%
Fashion Men's 2 In 1 Short Sleeve T-Shirt & Shorts Set- Black,"KSh 1,343",KSh 685,49%
Fashion 2024 Women Shoes Sandals Heels Slippers Ladies Shoes Casual Shoes,"KSh 1,420",KSh 791,44%
128 GB Metal  Usb Flash Drive  Adapter Cable  2 In 1 Set,KSh 910,KSh 655,28%
Fashion Elegant Studed Ladies Wristwatch With Hand Chain-Rose Gold,"KSh 1,004",KSh 512,49%
Kitchen Utensils 5 Piece Set-Black,"KSh 1,000",KSh 495,51%
RichRipple 3GN Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 826,KSh 558,32%
Kitchens Tongs Stainless Steel Double Sided For BBQ Cooking,KSh 788,KSh 402,49%
Fashion 3 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags Hobo Bags,"KSh 1,599",KSh 899,44%
Agapeon Dragon Rechargeable Hair Clipper,KSh 710,KSh 399,44%
T&G Portable Wireless Bluetooth Speaker-Black,"KSh 1,000",KSh 614,39%
