Product Name,Old Price,New Price,Discount,Rating,Ratings Count
RichRipple Black+Grey 2 Smart Watch Bands Bluetooth Call Smart Watches,1929.0,931,52%,3.7,74.0
Bluetooth Speaker Mirror With Clock FM Time Radio,1530.0,796,48%,3.4,96.0
Fashion Sneakers Women Shoes Women's Shoes Ladies,9601045.0,486,53%,3.4,261.0
ARHANORY Phone Tripod Stand Mobile Phone Holder Mount Ring Light Set Selfie Stick-Black,782.0,465,41%,,775.0
F9 Bluetooth Earphone 2000mAh Battery Headset Zw,599.0,469,22%,,67.0
Fashion 2024 Mens British High Boots Running Sneakers - Black,23043000.0,1590,47%,3.8,143.0
400ml Electric Fruit Juicer Portable Blender For Shakes And Smoothies,1948.0,886,55%,3.2,58.0
Fashion Men's Shoes Formal Casual Shoes Shoes For Men,1991.0,1195,40%,,33.0
Fashion 4 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags Hobo Bags,1798.0,809,55%,3.3,125.0
Fast Charging 20000mAh Power Charging Bank Black,1678.0,1350,20%,4.3,82.0
Fashion 3 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags Hobo Bags,1599.0,899,44%,3.8,12.0
Men Breathable Outdoor Walking Men's Sneaker Comfortable PU Leather,2196.0,1120,49%,4.3,26.0
Fashion 4 In 1 PU Leather Mens Bracelets Retro Braided Adjustable Hand Bracelet,625.0,293,53%,3.8,63.0
Fashion 2024 Mens Casual Sci-Fi Warrior Shoes Running Sneakers - Black/Green,21282614.0,1490,43%,,160.0
Fashion Men Laptop Backpack Business Bag Set Rucksack Travel Bag With USB Jack-Grey,1745.0,872,50%,3.3,56.0
Fashion Men's Breathable Casual Loafers Low Top Shoes - Black,1641.0,980,40%,4.3,60.0
Ace Elec M10 Wireless  Bluetooth 5.1 Earphones Dual LED Display,760.0,380,50%,3.9,305.0
F9 Bluetooth Earphone 2000mAh Battery Headset XL,599.0,437,27%,3.4,37.0
"Y6 Pro Smartphone 5.0"" Touch Display 64 GB ROM,4 GB RAM, Android 7, Dual SIM - Black",12598.0,6299,50%,3.6,35.0
Fashion 4pcs Men Underwear Boxers Panties Comfortable Soft,1100.0,671,39%,3.9,18.0
"Bluetooth Speaker 4D Subwoofer Wired Speaker For Laptop,TV",1827.0,1174,36%,3.6,113.0
RichRipple Portable Plastic Laptop Stand 10-hole Adjustable Foldable Ipad Computer Stand,642.0,365,43%,4.1,124.0
"C Idea 8 Inch Tablet,Android 12 Dual Camera Sim Pink 256GB Adult Men Tablet With Case",13000.0,6999,46%,4.4,13.0
LASA Double Sided Nano Removal Tape Gel Grip,618.0,350,43%,4.6,21.0
UWY 128GB Pendrive Flash  Drive Metal High Speed,1100.0,590,46%,3.6,220.0
